epoch,train_loss,val_loss,val_iou,val_dice,val_relaxed_iou,val_occ_recall,lr,sec
1,0.65101,0.42680,0.40485,0.57636,0.55675,0.22229,2.71e-04,137
2,0.45322,0.34559,0.42687,0.59833,0.57976,0.37152,1.96e-04,130
3,0.39754,0.28489,0.49329,0.66068,0.64556,0.41701,1.04e-04,130
4,0.35826,0.28212,0.49111,0.65871,0.64565,0.53102,2.86e-05,130
5,0.34550,0.25994,0.52196,0.68590,0.68452,0.57434,0.00e+00,131
